Opportunity,Time,Stage,Action
OP001,43456.6055,1,Emailed Client
OP001,43466.19231,1,Emailed Client
OP001,43471.51592,2,Meeting with Client
OP001,43479.39509,3,Presented to Client
OP001,43483.32009,3,Presented to Client
OP001,43491.23536,3,Presented to Client
OP001,43492.82981,4,Prepared Custom Demonstration
OP001,43496.21384,5,Prepared POC
OP001,43505.60828,5,Prepared POC
OP001,43509.59647,6,Provided Pre-Sales Support
OP001,43515.23814,6,Provided Pre-Sales Support
OP001,43526.02147,6,Provided Pre-Sales Support
OP001,43536.79509,8,Prepared Commercials
OP001,43538.67772,9,Negotiation Meeting
OP001,43547.13675,9,Negotiation Meeting
OP001,43555.6055,11,Post Sales Support
OP001,43561.78884,11,Post Sales Support
OP002,43456.6055,1,Emailed Client
OP002,43466.56731,2,Meeting with Client
OP002,43474.66939,2,Meeting with Client
OP002,43485.56731,2,Meeting with Client
OP002,43487.45759,2,Meeting with Client
OP002,43491.68259,4,Prepared Custom Demonstration
OP002,43498.96453,4,Prepared Custom Demonstration
OP002,43500.32981,4,Prepared Custom Demonstration
OP002,43507.693,5,Prepared POC
OP002,43510.49161,6,Provided Pre-Sales Support
OP002,43515.22981,6,Provided Pre-Sales Support
OP002,43522.14578,6,Provided Pre-Sales Support
OP002,43530.368,7,Prepared RFP Responses
OP002,43531.42564,8,Prepared Commercials
OP002,43540.14439,8,Prepared Commercials
OP002,43541.94786,10,Commercials Signed
OP002,43547.81731,11,Post Sales Support
OP002,43550.24439,11,Post Sales Support
OP002,43558.49995,11,Post Sales Support
OP003,43457.6055,2,Meeting with Client
OP003,43459.32356,3,Presented to Client
OP003,43466.81939,3,Presented to Client
OP003,43469.71661,3,Presented to Client
OP003,43477.01245,4,Prepared Custom Demonstration
OP003,43484.31036,5,Prepared POC
OP003,43485.41522,7,Prepared RFP Responses
OP003,43495.45689,7,Prepared RFP Responses
OP003,43498.468,7,Prepared RFP Responses
OP003,43500.23814,7,Prepared RFP Responses
OP003,43508.60134,8,Prepared Commercials
OP003,43514.86731,8,Prepared Commercials
OP003,43517.92286,8,Prepared Commercials
OP003,43525.77564,11,Post Sales Support
OP003,43533.73189,11,Post Sales Support
OP003,43542.36661,11,Post Sales Support
OP004,43458.6055,3,Presented to Client
OP004,43466.27147,3,Presented to Client
OP004,43467.72911,3,Presented to Client
OP004,43473.06106,4,Prepared Custom Demonstration
OP004,43481.40759,5,Prepared POC
OP004,43489.66245,6,Provided Pre-Sales Support
OP004,43491.18467,7,Prepared RFP Responses
OP004,43498.01314,7,Prepared RFP Responses
OP004,43508.63536,8,Prepared Commercials
OP004,43516.79509,8,Prepared Commercials
OP004,43522.32981,9,Negotiation Meeting
OP004,43527.47147,10,Commercials Signed
OP004,43537.95897,10,Commercials Signed
OP004,43542.69161,11,Post Sales Support
OP005,43455.6055,1,Emailed Client
OP005,43456.84439,1,Emailed Client
OP005,43464.83259,2,Meeting with Client
OP005,43466.00689,2,Meeting with Client
